S_MW,W_MW,Baseload_MW,DailyAvgProd_MW,DailyErrorPct
40.0,155.0,214562.00095059033,54914.41148259133,-0.744062735995657
40.0,160.0,214528.754821987,54999.76670776256,-0.7436251995523836
40.0,165.0,214495.87227738037,55085.1219329338,-0.7431879627888635
40.0,170.0,214463.33778868674,55170.47715810502,-0.7427510094407598
40.0,175.0,214430.9492291964,55255.83238327625,-0.7423140988653855
40.0,180.0,214398.7628728943,55341.18760844748,-0.7418772997246428
40.0,185.0,214367.00064954697,55426.542833618725,-0.7414408809860079
40.0,190.0,214335.55252002564,55511.89805878996,-0.7410047124421721
40.0,195.0,214304.17024290533,55597.25328396119,-0.7405684956062969
40.0,200.0,214273.03155012795,55682.60850913241,-0.7401324464105238
45.0,0.0,242642.3883750015,58801.9494400685,-0.7576600286789518
45.0,5.0,242603.5953864255,58887.304665239724,-0.7572694478355011
45.0,10.0,242565.0556000023,58972.659890410956,-0.7568789958448969
45.0,15.0,242526.73184612702,59058.01511558219,-0.7564886366709794
45.0,20.0,242488.5117906499,59143.37034075343,-0.7560982584122818
45.0,25.0,242450.6206697162,59228.725565924666,-0.7557080885075963
45.0,30.0,242413.0066175686,59314.08079109589,-0.7553180762917151
45.0,35.0,242375.79517486645,59399.436016267115,-0.7549283501126327
45.0,40.0,242338.65505727992,59484.79124143836,-0.7545385764917348
45.0,45.0,242301.51493968966,59570.14646660959,-0.7541486833813773
45.0,50.0,242264.38898788491,59655.501691780824,-0.7537586851249358
45.0,55.0,242227.3623697827,59740.856916952056,-0.7533686684588834
45.0,60.0,242190.5494684968,59826.21214212329,-0.7529787505193086
45.0,65.0,242154.06316521682,59911.56736729452,-0.7525890477153875
45.0,70.0,242117.64468406828,59996.92259246575,-0.7521992968717589
45.0,75.0,242081.40171357163,60082.27781763699,-0.7518096087004413
45.0,80.0,242045.1985774386,60167.633042808215,-0.7514198447379715
45.0,85.0,242009.16256642225,60252.988267979454,-0.7510301360947756
45.0,90.0,241973.1265554094,60338.343493150685,-0.7506403113763387
45.0,95.0,241937.23351699702,60423.69871832191,-0.7502505181201184
45.0,100.0,241901.4418715073,60509.053943493156,-0.7498607140356186
45.0,105.0,241865.6801574552,60594.40916866438,-0.7494708255870893
45.0,110.0,241829.96732845504,60679.76439383561,-0.7490808725478594
45.0,115.0,241794.31957945306,60765.119619006844,-0.7486908719580587
45.0,120.0,241758.67183045117,60850.47484417808,-0.7483007563556877
45.0,125.0,241723.07849833963,60935.83006934932,-0.7479105824404438
45.0,130.0,241687.71581167288,61021.18529452055,-0.7475205345476919
45.0,135.0,241652.60329768434,61106.54051969178,-0.7471306342832297
45.0,140.0,241617.5071092694,61191.89574486301,-0.7467406378082135
45.0,145.0,241582.46828736755,61277.25097003425,-0.7463505882507019
45.0,150.0,241547.59870937958,61362.60619520548,-0.7459606035287707
45.0,155.0,241513.1006004619,61447.96142037671,-0.745570897530603
